07:15:54.244 [main] INFO  c.l.b.s.SimulationActionDeciderMain - Starting with parameters ParametersTO{trendParameters=SimulationActionDeciderParameters{parameters=SimulationParametersTO{doubleStep=1.0, percentageBuyFrom=0.1, percentageBuyTo=4.1, percentageSelFrom=0.1, percentageSelTo=4.1, triggerTargetCountFrom=1, triggerTargetCountTo=22, maximumLoosePercentageFrom=10.0, maximumLoosePercentageTo=15.0, numberOfThreads=3, historicalBufferTrimSizePercentage=55.0}, numberOfHistoricalTransactionsToRunSimulation=300}, maximumLoosePercentage=5.0, startDigitalCurrencyAmount=0.0, startMoneyAmount=1000.0} 
07:15:54.578 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.578 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.578 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.578 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.578 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.578 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.578 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.578 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.578 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.578 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.578 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.578 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.579 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.579 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.579 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.579 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.579 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.579 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.579 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.580 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.580 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.580 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.580 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.580 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.580 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.580 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.580 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.580 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.580 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.580 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.580 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.580 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.580 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.580 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.580 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.580 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.581 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.581 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.581 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.581 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.581 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.581 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.581 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.581 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.581 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.584 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.584 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.584 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.584 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.584 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.584 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.584 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.584 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.584 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.585 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.585 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.585 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.585 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.585 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.585 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.585 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.585 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.585 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.585 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.585 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.585 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.585 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.585 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.585 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.586 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.586 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.586 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.586 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.586 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.586 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.586 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.586 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.586 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.587 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.587 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.587 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.587 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.587 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.587 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.587 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.587 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.587 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.587 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.587 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.587 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.587 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.587 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.587 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.587 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.587 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.587 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.587 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.588 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.588 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.588 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.588 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.588 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.588 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.588 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.588 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.588 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.588 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.588 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.588 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.588 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.588 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.588 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.588 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.588 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.588 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.589 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.590 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.591 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.592 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.592 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.592 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.592 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
07:15:54.592 [Thread-0] WARN  c.l.b.c.t.a.SimulationActionDecider - TradeActionDecider does not exist yet!
